Station_ID,x_model,y_model,longitude,latitude
station1,1838131.868,2727920.816,-91.143162,30.101589
station2,1780803.953,2738906.375,-91.10816,30.170753
station3,1714221.124,2710500.701,-91.103438,30.173253
station4,1557914.371,2725362.305,-91.094271,30.18925
station5,1570637.328,2706364.76,-91.091493,30.189364
station6,1567678.353,2682271.049,-91.044548,30.215194
station7,1567605.81,2682317.917,-91.020944,30.226861
station8,1568441.584,2683141.824,-91.020722,30.227419
station9,1539475.027,2694404.951,-91.018158,30.237418
station10,1526869.753,2725116.501,-91.015102,30.26214
station11,1540089.234,2711362.03,-91.007324,30.269444
station12,1568797.725,2694713.9,-90.96899,30.275473
station13,1543597.184,2716306.927,-90.963433,30.283567
station14,1543392.959,2703322.986,-90.954167,30.297417
station15,1599827.947,2690987.609,-90.918709,30.307694
station16,1583649.75,2688808.328,-90.917322,30.31825
station17,1588626.583,2683123.634,-90.916944,30.320556
station18,1620508.889,2689264.077,-90.899542,30.32125
station19,1611241.716,2675891.824,-90.883709,30.321389
station20,1618334.41,2683876.046,-90.870097,30.323527
station21,1644540.934,2669698.54,-90.861208,30.332694
station22,1674230.614,2653609.761,-90.859861,30.33686
station23,1661506.712,2607204.719,-90.852042,30.340471
station24,1697538.809,2684417.572,-90.819906,30.355193
station25,1602695.761,2629226.882,-90.786205,30.358526
station26,1620765.609,2631111.377,-90.781278,30.376556
station27,1586839.121,2661717.11,-90.779262,30.382414
station28,1601329.978,2665154.176,-90.736489,30.386859
station29,1616703.572,2654297.655,-90.688056,30.404083
station30,1607628.145,2650160.807,-90.608722,30.404914
station31,1632947.051,2647072.36,-90.551111,30.417969
station32,1644075.79,2638259.042,-90.397839,30.440746
station33,1645630.375,2638302.752,-90.334583,30.443694
station34,1764381.524,2679483.203,-90.154801,30.444469
